"CBSA","DIV","CSA","Type","Population","CBSA Name","Div Name","CSA Name"
"17660",,"518","Metro","150,128","Coeur d'Alene, ID",,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
"17700",,,"Micro","33,463","Coffeyville, KS",,
"17740",,"310","Micro","43,543","Coldwater, MI",,"Kalamazoo-Battle Creek-Portage, MI"
"17780",,,"Metro","248,554","College Station-Bryan, TX",,
"17820",,,"Metro","698,595","Colorado Springs, CO",,
"17860",,"190","Metro","174,589","Columbia, MO",,"Columbia-Moberly-Mexico, MO"
"17900",,"192","Metro","808,377","Columbia, SC",,"Columbia-Orangeburg-Newberry, SC"
"17980",,"194","Metro","309,979","Columbus, GA-AL",,"Columbus-Auburn-Opelika, GA-AL"
"18020",,"294","Metro","81,024","Columbus, IN",,"Indianapolis-Carmel-Muncie, IN"
"18060",,"200","Micro","59,558","Columbus, MS",,"Columbus-West Point, MS"
"18100",,,"Micro","32,875","Columbus, NE",,
"18140",,"198","Metro","2,023,695","Columbus, OH",,"Columbus-Marion-Zanesville, OH"
"18180",,"148","Micro","147,958","Concord, NH",,"Boston-Worcester-Providence, MA-RI-NH-CT"
"18220",,"458","Micro","23,426","Connersville, IN",,"Richmond-Connersville, IN"
"18260",,,"Micro","109,133","Cookeville, TN",,
"18300",,,"Micro","62,921","Coos Bay, OR",,
"18380",,,"Micro","23,005","Cordele, GA",,
"18420",,"539","Micro","37,242","Corinth, MS",,"Tupelo-Corinth, MS"
"18460",,"122","Micro","43,878","Cornelia, GA",,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
"18500",,"236","Micro","97,539","Corning, NY",,"Elmira-Corning, NY"
"18580",,"204","Metro","450,183","Corpus Christi, TX",,"Corpus Christi-Kingsville-Alice, TX"
"18620",,"206","Micro","48,239","Corsicana, TX",,"Dallas-Fort Worth, TX-OK"
"18660",,"296","Micro","48,334","Cortland, NY",,"Ithaca-Cortland, NY"
"18700",,"440","Metro","88,249","Corvallis, OR",,"Portland-Vancouver-Salem, OR-WA"
"18740",,,"Micro","36,602","Coshocton, OH",,
"18780",,"525","Micro","13,056","Craig, CO",,"Steamboat Springs-Craig, CO"
"18820",,"294","Micro","38,288","Crawfordsville, IN",,"Indianapolis-Carmel-Muncie, IN"
"18860",,,"Micro","27,442","Crescent City, CA",,
"18880",,,"Metro","261,048","Crestview-Fort Walton Beach-Destin, FL",,
"18900",,,"Micro","58,178","Crossville, TN",,
"18980",,"142","Micro","81,703","Cullman, AL",,"Birmingham-Hoover-Talladega, AL"
"19000",,,"Micro","41,725","Cullowhee, NC",,
"19060",,,"Metro","100,012","Cumberland, MD-WV",,
"19100","19124","206","Metro","7,104,415","Dallas-Fort Worth-Arlington, TX","Dallas-Plano-Irving, TX","Dallas-Fort Worth, TX-OK"
"19100","23104","206","Metro","7,104,415","Dallas-Fort Worth-Arlington, TX","Fort Worth-Arlington-Grapevine, TX","Dallas-Fort Worth, TX-OK"
"19140",,"174","Metro","143,407","Dalton, GA",,"Chattanooga-Cleveland-Dalton, TN-GA"
"19180",,,"Metro","79,207","Danville, IL",,
"19220",,,"Micro","54,186","Danville, KY",,
"19260",,,"Micro","103,881","Danville, VA",,
"19300",,"380","Metro","203,360","Daphne-Fairhope-Foley, AL",,"Mobile-Daphne-Fairhope, AL"
"19340",,"209","Metro","383,141","Davenport-Moline-Rock Island, IA-IL",,"Davenport-Moline, IA-IL"
"19420",,"174","Micro","32,478","Dayton, TN",,"Chattanooga-Cleveland-Dalton, TN-GA"
"19430",,"212","Metro","799,022","Dayton-Kettering, OH",,"Dayton-Springfield-Kettering, OH"
"19460",,"290","Metro","152,445","Decatur, AL",,"Huntsville-Decatur, AL"
"19500",,,"Metro","107,587","Decatur, IL",,
"19540",,"258","Micro","35,018","Decatur, IN",,"Fort Wayne-Huntington-Auburn, IN"
